"Start","S0","K","Tt","Type","P"
2019-11-02,255.820007,150,2019-11-08,"call",97.14
2019-11-02,255.820007,155,2019-11-08,"call",86.05
2019-11-02,255.820007,160,2019-11-08,"call",83.4
2019-11-02,255.820007,165,2019-11-08,"call",54.9
2019-11-02,255.820007,170,2019-11-08,"call",76.75
2019-11-02,255.820007,172.5,2019-11-08,"call",63
2019-11-02,255.820007,175,2019-11-08,"call",73.7
2019-11-02,255.820007,177.5,2019-11-08,"call",59.9
2019-11-02,255.820007,180,2019-11-08,"call",68.7
2019-11-02,255.820007,182.5,2019-11-08,"call",70.71
2019-11-02,255.820007,185,2019-11-08,"call",68.47
2019-11-02,255.820007,187.5,2019-11-08,"call",61.05
2019-11-02,255.820007,190,2019-11-08,"call",62.9
2019-11-02,255.820007,192.5,2019-11-08,"call",60.42
2019-11-02,255.820007,195,2019-11-08,"call",55.53
2019-11-02,255.820007,197.5,2019-11-08,"call",50.97
2019-11-02,255.820007,200,2019-11-08,"call",53.12
2019-11-02,255.820007,202.5,2019-11-08,"call",51.89
2019-11-02,255.820007,205,2019-11-08,"call",49.98
2019-11-02,255.820007,207.5,2019-11-08,"call",46.32
2019-11-02,255.820007,210,2019-11-08,"call",44.74
2019-11-02,255.820007,212.5,2019-11-08,"call",41.15
2019-11-02,255.820007,215,2019-11-08,"call",39.74
2019-11-02,255.820007,217.5,2019-11-08,"call",37.05
2019-11-02,255.820007,220,2019-11-08,"call",34.98
2019-11-02,255.820007,222.5,2019-11-08,"call",32.35
2019-11-02,255.820007,225,2019-11-08,"call",30.69
2019-11-02,255.820007,227.5,2019-11-08,"call",27.8
2019-11-02,255.820007,230,2019-11-08,"call",25.66
2019-11-02,255.820007,232.5,2019-11-08,"call",22.63
2019-11-02,255.820007,235,2019-11-08,"call",20.37
2019-11-02,255.820007,237.5,2019-11-08,"call",18.05
2019-11-02,255.820007,240,2019-11-08,"call",15.79
2019-11-02,255.820007,242.5,2019-11-08,"call",13.34
2019-11-02,255.820007,245,2019-11-08,"call",11.25
2019-11-02,255.820007,247.5,2019-11-08,"call",8.72
2019-11-02,255.820007,250,2019-11-08,"call",6.7
2019-11-02,255.820007,252.5,2019-11-08,"call",4.7
2019-11-02,255.820007,255,2019-11-08,"call",3.12
2019-11-02,255.820007,257.5,2019-11-08,"call",1.95
2019-11-02,255.820007,260,2019-11-08,"call",1.16
2019-11-02,255.820007,262.5,2019-11-08,"call",0.67
2019-11-02,255.820007,265,2019-11-08,"call",0.4
2019-11-02,255.820007,267.5,2019-11-08,"call",0.24
2019-11-02,255.820007,270,2019-11-08,"call",0.17
2019-11-02,255.820007,272.5,2019-11-08,"call",0.12
2019-11-02,255.820007,275,2019-11-08,"call",0.09
2019-11-02,255.820007,277.5,2019-11-08,"call",0.09
2019-11-02,255.820007,280,2019-11-08,"call",0.06
2019-11-02,255.820007,282.5,2019-11-08,"call",0.04
2019-11-02,255.820007,285,2019-11-08,"call",0.03
2019-11-02,255.820007,287.5,2019-11-08,"call",0.02
2019-11-02,255.820007,290,2019-11-08,"call",0.03
2019-11-02,255.820007,292.5,2019-11-08,"call",0.09
2019-11-02,255.820007,295,2019-11-08,"call",0.01
2019-11-02,255.820007,297.5,2019-11-08,"call",0.1
2019-11-02,255.820007,300,2019-11-08,"call",0.01
2019-11-02,255.820007,150,2019-11-08,"put",0.03
2019-11-02,255.820007,155,2019-11-08,"put",0.05
2019-11-02,255.820007,160,2019-11-08,"put",0.07
2019-11-02,255.820007,165,2019-11-08,"put",0.01
2019-11-02,255.820007,170,2019-11-08,"put",0.13
2019-11-02,255.820007,172.5,2019-11-08,"put",0.01
2019-11-02,255.820007,175,2019-11-08,"put",0.02
2019-11-02,255.820007,177.5,2019-11-08,"put",0.03
2019-11-02,255.820007,180,2019-11-08,"put",0.01
2019-11-02,255.820007,182.5,2019-11-08,"put",0.05
2019-11-02,255.820007,185,2019-11-08,"put",0.01
2019-11-02,255.820007,187.5,2019-11-08,"put",0.01
2019-11-02,255.820007,190,2019-11-08,"put",0.01
2019-11-02,255.820007,192.5,2019-11-08,"put",0.01
2019-11-02,255.820007,195,2019-11-08,"put",0.02
2019-11-02,255.820007,197.5,2019-11-08,"put",0.01
2019-11-02,255.820007,200,2019-11-08,"put",0.03
2019-11-02,255.820007,202.5,2019-11-08,"put",0.02
2019-11-02,255.820007,205,2019-11-08,"put",0.02
2019-11-02,255.820007,207.5,2019-11-08,"put",0.02
2019-11-02,255.820007,210,2019-11-08,"put",0.02
2019-11-02,255.820007,212.5,2019-11-08,"put",0.03
2019-11-02,255.820007,215,2019-11-08,"put",0.02
2019-11-02,255.820007,217.5,2019-11-08,"put",0.04
2019-11-02,255.820007,220,2019-11-08,"put",0.03
2019-11-02,255.820007,222.5,2019-11-08,"put",0.05
2019-11-02,255.820007,225,2019-11-08,"put",0.06
2019-11-02,255.820007,227.5,2019-11-08,"put",0.07
2019-11-02,255.820007,230,2019-11-08,"put",0.1
2019-11-02,255.820007,232.5,2019-11-08,"put",0.13
2019-11-02,255.820007,235,2019-11-08,"put",0.17
2019-11-02,255.820007,237.5,2019-11-08,"put",0.22
2019-11-02,255.820007,240,2019-11-08,"put",0.27
2019-11-02,255.820007,242.5,2019-11-08,"put",0.37
2019-11-02,255.820007,245,2019-11-08,"put",0.54
2019-11-02,255.820007,247.5,2019-11-08,"put",0.78
2019-11-02,255.820007,250,2019-11-08,"put",1.19
2019-11-02,255.820007,252.5,2019-11-08,"put",1.84
2019-11-02,255.820007,255,2019-11-08,"put",2.84
2019-11-02,255.820007,257.5,2019-11-08,"put",4.15
2019-11-02,255.820007,260,2019-11-08,"put",6
2019-11-02,255.820007,262.5,2019-11-08,"put",8.1
2019-11-02,255.820007,265,2019-11-08,"put",10.35
2019-11-02,255.820007,270,2019-11-08,"put",15.1
2019-11-02,255.820007,272.5,2019-11-08,"put",17.5
2019-11-02,255.820007,275,2019-11-08,"put",20.87
2019-11-02,255.820007,277.5,2019-11-08,"put",25.6
