"Start","S0","K","Tt","Type","P"
2019-11-02,1791.439941,1280,2019-11-08,"call",477.05
2019-11-02,1791.439941,1300,2019-11-08,"call",485.15
2019-11-02,1791.439941,1400,2019-11-08,"call",340.68
2019-11-02,1791.439941,1440,2019-11-08,"call",309.33
2019-11-02,1791.439941,1450,2019-11-08,"call",339.9
2019-11-02,1791.439941,1460,2019-11-08,"call",316.64
2019-11-02,1791.439941,1490,2019-11-08,"call",258
2019-11-02,1791.439941,1520,2019-11-08,"call",257.88
2019-11-02,1791.439941,1530,2019-11-08,"call",242.75
2019-11-02,1791.439941,1540,2019-11-08,"call",196.56
2019-11-02,1791.439941,1550,2019-11-08,"call",238.94
2019-11-02,1791.439941,1570,2019-11-08,"call",182.85
2019-11-02,1791.439941,1575,2019-11-08,"call",175.4
2019-11-02,1791.439941,1582.5,2019-11-08,"call",168.1
2019-11-02,1791.439941,1585,2019-11-08,"call",190.25
2019-11-02,1791.439941,1590,2019-11-08,"call",161
2019-11-02,1791.439941,1600,2019-11-08,"call",189.2
2019-11-02,1791.439941,1602.5,2019-11-08,"call",157.5
2019-11-02,1791.439941,1612.5,2019-11-08,"call",147.85
2019-11-02,1791.439941,1617.5,2019-11-08,"call",153.73
2019-11-02,1791.439941,1620,2019-11-08,"call",167.9
2019-11-02,1791.439941,1622.5,2019-11-08,"call",145.52
2019-11-02,1791.439941,1625,2019-11-08,"call",152.15
2019-11-02,1791.439941,1630,2019-11-08,"call",160.3
2019-11-02,1791.439941,1640,2019-11-08,"call",129.9
2019-11-02,1791.439941,1642.5,2019-11-08,"call",122.7
2019-11-02,1791.439941,1645,2019-11-08,"call",132.1
2019-11-02,1791.439941,1650,2019-11-08,"call",139.17
2019-11-02,1791.439941,1652.5,2019-11-08,"call",110.35
2019-11-02,1791.439941,1655,2019-11-08,"call",107.6
2019-11-02,1791.439941,1660,2019-11-08,"call",117.8
2019-11-02,1791.439941,1665,2019-11-08,"call",115.7
2019-11-02,1791.439941,1670,2019-11-08,"call",118.65
2019-11-02,1791.439941,1675,2019-11-08,"call",114.54
2019-11-02,1791.439941,1680,2019-11-08,"call",109.55
2019-11-02,1791.439941,1682.5,2019-11-08,"call",64.45
2019-11-02,1791.439941,1685,2019-11-08,"call",106.4
2019-11-02,1791.439941,1690,2019-11-08,"call",99.75
2019-11-02,1791.439941,1692.5,2019-11-08,"call",58
2019-11-02,1791.439941,1695,2019-11-08,"call",99.1
2019-11-02,1791.439941,1697.5,2019-11-08,"call",83.4
2019-11-02,1791.439941,1700,2019-11-08,"call",89.75
