"Start","S0","K","Tt","Type","P"
2019-11-02,55.82,46,2019-11-08,"call",6.7
2019-11-02,55.82,47.5,2019-11-08,"call",7.75
2019-11-02,55.82,48.5,2019-11-08,"call",6.7
2019-11-02,55.82,49,2019-11-08,"call",7.2
2019-11-02,55.82,49.5,2019-11-08,"call",7.1
2019-11-02,55.82,50,2019-11-08,"call",5.95
2019-11-02,55.82,50.5,2019-11-08,"call",6.48
2019-11-02,55.82,51,2019-11-08,"call",5.2
2019-11-02,55.82,51.5,2019-11-08,"call",5
2019-11-02,55.82,52,2019-11-08,"call",4.4
2019-11-02,55.82,52.5,2019-11-08,"call",4.9
2019-11-02,55.82,53,2019-11-08,"call",4.1
2019-11-02,55.82,53.5,2019-11-08,"call",3.4
2019-11-02,55.82,54,2019-11-08,"call",3.15
2019-11-02,55.82,54.5,2019-11-08,"call",2.76
2019-11-02,55.82,55,2019-11-08,"call",2.55
2019-11-02,55.82,55.5,2019-11-08,"call",2.2
2019-11-02,55.82,56,2019-11-08,"call",2.09
2019-11-02,55.82,56.5,2019-11-08,"call",1.83
2019-11-02,55.82,57,2019-11-08,"call",1.65
2019-11-02,55.82,57.5,2019-11-08,"call",1.44
2019-11-02,55.82,58,2019-11-08,"call",1.25
2019-11-02,55.82,58.5,2019-11-08,"call",1.13
2019-11-02,55.82,59,2019-11-08,"call",0.96
2019-11-02,55.82,59.5,2019-11-08,"call",0.87
2019-11-02,55.82,60,2019-11-08,"call",0.75
2019-11-02,55.82,60.5,2019-11-08,"call",0.6
2019-11-02,55.82,61,2019-11-08,"call",0.51
2019-11-02,55.82,61.5,2019-11-08,"call",0.48
2019-11-02,55.82,62,2019-11-08,"call",0.36
2019-11-02,55.82,62.5,2019-11-08,"call",0.35
2019-11-02,55.82,63,2019-11-08,"call",0.31
2019-11-02,55.82,63.5,2019-11-08,"call",0.32
2019-11-02,55.82,64,2019-11-08,"call",0.26
2019-11-02,55.82,64.5,2019-11-08,"call",0.2
2019-11-02,55.82,65,2019-11-08,"call",0.18
2019-11-02,55.82,45,2019-11-08,"put",0.05
2019-11-02,55.82,45.5,2019-11-08,"put",0.05
2019-11-02,55.82,46,2019-11-08,"put",0.05
