"Start","S0","K","Tt","Type","P"
2019-11-02,31.799999,21,2019-11-08,"call",7.65
2019-11-02,31.799999,22.5,2019-11-08,"call",5.7
2019-11-02,31.799999,23,2019-11-08,"call",8.8
2019-11-02,31.799999,24,2019-11-08,"call",7.15
2019-11-02,31.799999,25,2019-11-08,"call",6.15
2019-11-02,31.799999,25.5,2019-11-08,"call",6.25
2019-11-02,31.799999,26,2019-11-08,"call",2.5
2019-11-02,31.799999,26.5,2019-11-08,"call",4.61
2019-11-02,31.799999,27,2019-11-08,"call",4.8
2019-11-02,31.799999,27.5,2019-11-08,"call",4.2
2019-11-02,31.799999,28,2019-11-08,"call",3.77
2019-11-02,31.799999,28.5,2019-11-08,"call",3.35
2019-11-02,31.799999,29,2019-11-08,"call",2.68
2019-11-02,31.799999,29.5,2019-11-08,"call",2.36
2019-11-02,31.799999,30,2019-11-08,"call",1.8
2019-11-02,31.799999,30.5,2019-11-08,"call",1.32
2019-11-02,31.799999,31,2019-11-08,"call",0.88
2019-11-02,31.799999,31.5,2019-11-08,"call",0.51
2019-11-02,31.799999,32,2019-11-08,"call",0.23
2019-11-02,31.799999,32.5,2019-11-08,"call",0.09
2019-11-02,31.799999,33,2019-11-08,"call",0.04
2019-11-02,31.799999,33.5,2019-11-08,"call",0.01
2019-11-02,31.799999,34,2019-11-08,"call",0.01
2019-11-02,31.799999,34.5,2019-11-08,"call",0.01
2019-11-02,31.799999,35,2019-11-08,"call",0.01
2019-11-02,31.799999,35.5,2019-11-08,"call",0.02
2019-11-02,31.799999,36,2019-11-08,"call",0.01
2019-11-02,31.799999,36.5,2019-11-08,"call",0.02
2019-11-02,31.799999,39,2019-11-08,"call",0.02
2019-11-02,31.799999,21,2019-11-08,"put",0.03
2019-11-02,31.799999,22.5,2019-11-08,"put",0.05
2019-11-02,31.799999,24,2019-11-08,"put",0.01
2019-11-02,31.799999,24.5,2019-11-08,"put",0.02
2019-11-02,31.799999,25,2019-11-08,"put",0.02
2019-11-02,31.799999,25.5,2019-11-08,"put",0.02
2019-11-02,31.799999,26,2019-11-08,"put",0.01
2019-11-02,31.799999,26.5,2019-11-08,"put",0.02
2019-11-02,31.799999,27,2019-11-08,"put",0.01
2019-11-02,31.799999,27.5,2019-11-08,"put",0.01
2019-11-02,31.799999,28,2019-11-08,"put",0.01
2019-11-02,31.799999,28.5,2019-11-08,"put",0.01
2019-11-02,31.799999,29,2019-11-08,"put",0.02
2019-11-02,31.799999,29.5,2019-11-08,"put",0.02
2019-11-02,31.799999,30,2019-11-08,"put",0.03
2019-11-02,31.799999,30.5,2019-11-08,"put",0.05
2019-11-02,31.799999,31,2019-11-08,"put",0.1
2019-11-02,31.799999,31.5,2019-11-08,"put",0.22
2019-11-02,31.799999,32,2019-11-08,"put",0.45
2019-11-02,31.799999,32.5,2019-11-08,"put",0.8
2019-11-02,31.799999,33,2019-11-08,"put",1.27
2019-11-02,31.799999,33.5,2019-11-08,"put",1.79
2019-11-02,31.799999,34,2019-11-08,"put",2.82
2019-11-02,31.799999,34.5,2019-11-08,"put",2.78
2019-11-02,31.799999,36.5,2019-11-08,"put",4.6
2019-11-02,31.799999,15,2019-11-15,"call",13.68
2019-11-02,31.799999,16,2019-11-15,"call",15.95
2019-11-02,31.799999,17,2019-11-15,"call",10.55
2019-11-02,31.799999,18,2019-11-15,"call",12.3
2019-11-02,31.799999,19,2019-11-15,"call",12.95
2019-11-02,31.799999,20,2019-11-15,"call",11.8
2019-11-02,31.799999,21,2019-11-15,"call",9.05
2019-11-02,31.799999,22,2019-11-15,"call",9.85
2019-11-02,31.799999,23,2019-11-15,"call",8.05
2019-11-02,31.799999,24,2019-11-15,"call",8
2019-11-02,31.799999,25,2019-11-15,"call",6.15
2019-11-02,31.799999,25.5,2019-11-15,"call",5.6
2019-11-02,31.799999,26,2019-11-15,"call",5.67
2019-11-02,31.799999,26.5,2019-11-15,"call",5.72
2019-11-02,31.799999,27,2019-11-15,"call",4.8
2019-11-02,31.799999,27.5,2019-11-15,"call",3.55
2019-11-02,31.799999,28,2019-11-15,"call",3.81
2019-11-02,31.799999,28.5,2019-11-15,"call",3.37
2019-11-02,31.799999,29,2019-11-15,"call",2.81
2019-11-02,31.799999,29.5,2019-11-15,"call",2.38
2019-11-02,31.799999,30,2019-11-15,"call",1.86
2019-11-02,31.799999,30.5,2019-11-15,"call",1.45
2019-11-02,31.799999,31,2019-11-15,"call",1
2019-11-02,31.799999,31.5,2019-11-15,"call",0.68
2019-11-02,31.799999,32,2019-11-15,"call",0.38
2019-11-02,31.799999,32.5,2019-11-15,"call",0.19
2019-11-02,31.799999,33,2019-11-15,"call",0.1
2019-11-02,31.799999,33.5,2019-11-15,"call",0.04
2019-11-02,31.799999,34,2019-11-15,"call",0.03
2019-11-02,31.799999,34.5,2019-11-15,"call",0.02
2019-11-02,31.799999,35,2019-11-15,"call",0.01
2019-11-02,31.799999,35.5,2019-11-15,"call",0.02
2019-11-02,31.799999,36,2019-11-15,"call",0.01
2019-11-02,31.799999,37,2019-11-15,"call",0.01
2019-11-02,31.799999,38,2019-11-15,"call",0.01
2019-11-02,31.799999,15,2019-11-15,"put",0.01
2019-11-02,31.799999,16,2019-11-15,"put",0.04
2019-11-02,31.799999,17,2019-11-15,"put",0.03
2019-11-02,31.799999,18,2019-11-15,"put",0.01
2019-11-02,31.799999,19,2019-11-15,"put",0.02
2019-11-02,31.799999,20,2019-11-15,"put",0.01
2019-11-02,31.799999,21,2019-11-15,"put",0.01
2019-11-02,31.799999,22,2019-11-15,"put",0.01
2019-11-02,31.799999,23,2019-11-15,"put",0.01
2019-11-02,31.799999,24,2019-11-15,"put",0.01
2019-11-02,31.799999,25,2019-11-15,"put",0.01
2019-11-02,31.799999,25.5,2019-11-15,"put",0.02
2019-11-02,31.799999,26,2019-11-15,"put",0.02
2019-11-02,31.799999,26.5,2019-11-15,"put",0.05
2019-11-02,31.799999,27,2019-11-15,"put",0.01
2019-11-02,31.799999,27.5,2019-11-15,"put",0.02
2019-11-02,31.799999,28,2019-11-15,"put",0.03
2019-11-02,31.799999,28.5,2019-11-15,"put",0.03
2019-11-02,31.799999,29,2019-11-15,"put",0.05
2019-11-02,31.799999,29.5,2019-11-15,"put",0.06
2019-11-02,31.799999,30,2019-11-15,"put",0.08
2019-11-02,31.799999,30.5,2019-11-15,"put",0.13
2019-11-02,31.799999,31,2019-11-15,"put",0.22
2019-11-02,31.799999,31.5,2019-11-15,"put",0.36
2019-11-02,31.799999,32,2019-11-15,"put",0.58
2019-11-02,31.799999,32.5,2019-11-15,"put",0.9
2019-11-02,31.799999,33,2019-11-15,"put",1.31
2019-11-02,31.799999,33.5,2019-11-15,"put",1.76
2019-11-02,31.799999,34,2019-11-15,"put",2.25
2019-11-02,31.799999,34.5,2019-11-15,"put",3.15
2019-11-02,31.799999,35,2019-11-15,"put",3.2
2019-11-02,31.799999,35.5,2019-11-15,"put",4.05
2019-11-02,31.799999,36,2019-11-15,"put",4.85
2019-11-02,31.799999,37,2019-11-15,"put",10.05
2019-11-02,31.799999,38,2019-11-15,"put",9.55
2019-11-02,31.799999,21.5,2019-11-22,"call",6.3
2019-11-02,31.799999,22,2019-11-22,"call",6.55
2019-11-02,31.799999,23.5,2019-11-22,"call",6.6
2019-11-02,31.799999,24.5,2019-11-22,"call",7.45
2019-11-02,31.799999,25,2019-11-22,"call",3.01
2019-11-02,31.799999,25.5,2019-11-22,"call",3.85
2019-11-02,31.799999,26,2019-11-22,"call",5.84
2019-11-02,31.799999,26.5,2019-11-22,"call",5.37
2019-11-02,31.799999,27,2019-11-22,"call",4.38
2019-11-02,31.799999,27.5,2019-11-22,"call",4.3
2019-11-02,31.799999,28,2019-11-22,"call",3.7
2019-11-02,31.799999,28.5,2019-11-22,"call",3.6
