"Start","S0","K","Tt","Type","P"
2019-11-02,193.619995,125,2019-11-08,"call",65.2
2019-11-02,193.619995,130,2019-11-08,"call",61.55
2019-11-02,193.619995,135,2019-11-08,"call",56.55
2019-11-02,193.619995,140,2019-11-08,"call",52.85
2019-11-02,193.619995,145,2019-11-08,"call",47.55
2019-11-02,193.619995,150,2019-11-08,"call",42.6
2019-11-02,193.619995,155,2019-11-08,"call",37.7
2019-11-02,193.619995,157.5,2019-11-08,"call",35.15
2019-11-02,193.619995,160,2019-11-08,"call",33
2019-11-02,193.619995,162.5,2019-11-08,"call",30.4
2019-11-02,193.619995,165,2019-11-08,"call",26.77
2019-11-02,193.619995,167.5,2019-11-08,"call",24.09
2019-11-02,193.619995,170,2019-11-08,"call",22.92
2019-11-02,193.619995,172.5,2019-11-08,"call",21.05
2019-11-02,193.619995,175,2019-11-08,"call",18.5
2019-11-02,193.619995,177.5,2019-11-08,"call",16.2
2019-11-02,193.619995,180,2019-11-08,"call",13.1
2019-11-02,193.619995,182.5,2019-11-08,"call",11
2019-11-02,193.619995,185,2019-11-08,"call",8.5
2019-11-02,193.619995,187.5,2019-11-08,"call",6.64
2019-11-02,193.619995,190,2019-11-08,"call",4.75
2019-11-02,193.619995,192.5,2019-11-08,"call",2.94
2019-11-02,193.619995,195,2019-11-08,"call",1.7
2019-11-02,193.619995,197.5,2019-11-08,"call",0.85
2019-11-02,193.619995,200,2019-11-08,"call",0.39
2019-11-02,193.619995,202.5,2019-11-08,"call",0.2
2019-11-02,193.619995,205,2019-11-08,"call",0.09
2019-11-02,193.619995,207.5,2019-11-08,"call",0.07
2019-11-02,193.619995,210,2019-11-08,"call",0.05
2019-11-02,193.619995,212.5,2019-11-08,"call",0.04
2019-11-02,193.619995,215,2019-11-08,"call",0.03
2019-11-02,193.619995,220,2019-11-08,"call",0.01
2019-11-02,193.619995,222.5,2019-11-08,"call",0.04
2019-11-02,193.619995,225,2019-11-08,"call",0.01
2019-11-02,193.619995,230,2019-11-08,"call",0.01
2019-11-02,193.619995,235,2019-11-08,"call",0.11
2019-11-02,193.619995,240,2019-11-08,"call",0.09
2019-11-02,193.619995,245,2019-11-08,"call",0.06
2019-11-02,193.619995,250,2019-11-08,"call",0.04
2019-11-02,193.619995,125,2019-11-08,"put",0.02
2019-11-02,193.619995,130,2019-11-08,"put",0.03
2019-11-02,193.619995,135,2019-11-08,"put",0.02
2019-11-02,193.619995,140,2019-11-08,"put",0.02
2019-11-02,193.619995,145,2019-11-08,"put",0.01
2019-11-02,193.619995,150,2019-11-08,"put",0.02
2019-11-02,193.619995,152.5,2019-11-08,"put",0.02
2019-11-02,193.619995,155,2019-11-08,"put",0.01
2019-11-02,193.619995,157.5,2019-11-08,"put",0.02
2019-11-02,193.619995,160,2019-11-08,"put",0.01
2019-11-02,193.619995,162.5,2019-11-08,"put",0.03
2019-11-02,193.619995,165,2019-11-08,"put",0.02
2019-11-02,193.619995,167.5,2019-11-08,"put",0.04
2019-11-02,193.619995,170,2019-11-08,"put",0.06
2019-11-02,193.619995,172.5,2019-11-08,"put",0.06
2019-11-02,193.619995,175,2019-11-08,"put",0.08
2019-11-02,193.619995,177.5,2019-11-08,"put",0.1
2019-11-02,193.619995,180,2019-11-08,"put",0.14
2019-11-02,193.619995,182.5,2019-11-08,"put",0.2
2019-11-02,193.619995,185,2019-11-08,"put",0.32
2019-11-02,193.619995,187.5,2019-11-08,"put",0.55
2019-11-02,193.619995,190,2019-11-08,"put",1.04
2019-11-02,193.619995,192.5,2019-11-08,"put",1.85
2019-11-02,193.619995,195,2019-11-08,"put",3.05
2019-11-02,193.619995,197.5,2019-11-08,"put",5.5
2019-11-02,193.619995,200,2019-11-08,"put",7.5
2019-11-02,193.619995,202.5,2019-11-08,"put",11.05
2019-11-02,193.619995,205,2019-11-08,"put",12.25
2019-11-02,193.619995,207.5,2019-11-08,"put",16.3
2019-11-02,193.619995,210,2019-11-08,"put",17.1
2019-11-02,193.619995,215,2019-11-08,"put",22.22
2019-11-02,193.619995,220,2019-11-08,"put",27.16
