"Start","S0","K","Tt","Type","P"
2019-11-02,1273.73999,800,2019-11-08,"call",462.9
2019-11-02,1273.73999,820,2019-11-08,"call",437
2019-11-02,1273.73999,1000,2019-11-08,"call",296
2019-11-02,1273.73999,1020,2019-11-08,"call",206.86
2019-11-02,1273.73999,1060,2019-11-08,"call",143.4
2019-11-02,1273.73999,1070,2019-11-08,"call",187.7
2019-11-02,1273.73999,1100,2019-11-08,"call",168
2019-11-02,1273.73999,1122.5,2019-11-08,"call",149.6
2019-11-02,1273.73999,1157.5,2019-11-08,"call",80.9
2019-11-02,1273.73999,1160,2019-11-08,"call",78.3
2019-11-02,1273.73999,1162.5,2019-11-08,"call",76.5
2019-11-02,1273.73999,1167.5,2019-11-08,"call",78.3
2019-11-02,1273.73999,1175,2019-11-08,"call",60.9
2019-11-02,1273.73999,1180,2019-11-08,"call",86
2019-11-02,1273.73999,1182.5,2019-11-08,"call",75.7
2019-11-02,1273.73999,1185,2019-11-08,"call",79.1
2019-11-02,1273.73999,1187.5,2019-11-08,"call",71.9
2019-11-02,1273.73999,1190,2019-11-08,"call",77.97
2019-11-02,1273.73999,1192.5,2019-11-08,"call",64.5
2019-11-02,1273.73999,1195,2019-11-08,"call",86.1
2019-11-02,1273.73999,1197.5,2019-11-08,"call",70.32
2019-11-02,1273.73999,1200,2019-11-08,"call",75
2019-11-02,1273.73999,1202.5,2019-11-08,"call",96.73
2019-11-02,1273.73999,1205,2019-11-08,"call",94.63
2019-11-02,1273.73999,1207.5,2019-11-08,"call",66.6
2019-11-02,1273.73999,1210,2019-11-08,"call",59.6
2019-11-02,1273.73999,1212.5,2019-11-08,"call",57.48
2019-11-02,1273.73999,1215,2019-11-08,"call",51.7
2019-11-02,1273.73999,1217.5,2019-11-08,"call",60.6
2019-11-02,1273.73999,1220,2019-11-08,"call",42.6
2019-11-02,1273.73999,1222.5,2019-11-08,"call",33.2
2019-11-02,1273.73999,1225,2019-11-08,"call",45.7
2019-11-02,1273.73999,1227.5,2019-11-08,"call",31.9
2019-11-02,1273.73999,1230,2019-11-08,"call",36.6
2019-11-02,1273.73999,1232.5,2019-11-08,"call",28.8
2019-11-02,1273.73999,1235,2019-11-08,"call",25.71
2019-11-02,1273.73999,1237.5,2019-11-08,"call",24.11
2019-11-02,1273.73999,1240,2019-11-08,"call",28.1
2019-11-02,1273.73999,1242.5,2019-11-08,"call",28.87
2019-11-02,1273.73999,1245,2019-11-08,"call",26.64
2019-11-02,1273.73999,1247.5,2019-11-08,"call",25.25
2019-11-02,1273.73999,1250,2019-11-08,"call",20.13
2019-11-02,1273.73999,1252.5,2019-11-08,"call",18.4
2019-11-02,1273.73999,1255,2019-11-08,"call",20
2019-11-02,1273.73999,1257.5,2019-11-08,"call",21
2019-11-02,1273.73999,1260,2019-11-08,"call",15.3
2019-11-02,1273.73999,1262.5,2019-11-08,"call",14.8
2019-11-02,1273.73999,1265,2019-11-08,"call",14.6
2019-11-02,1273.73999,1267.5,2019-11-08,"call",11.4
2019-11-02,1273.73999,1270,2019-11-08,"call",11.5
2019-11-02,1273.73999,1272.5,2019-11-08,"call",10.5
2019-11-02,1273.73999,1275,2019-11-08,"call",8.88
2019-11-02,1273.73999,1277.5,2019-11-08,"call",7.52
2019-11-02,1273.73999,1280,2019-11-08,"call",7
2019-11-02,1273.73999,1282.5,2019-11-08,"call",5.4
2019-11-02,1273.73999,1285,2019-11-08,"call",5.2
2019-11-02,1273.73999,1287.5,2019-11-08,"call",3.19
2019-11-02,1273.73999,1290,2019-11-08,"call",3.3
2019-11-02,1273.73999,1292.5,2019-11-08,"call",2.85
2019-11-02,1273.73999,1295,2019-11-08,"call",2.25
2019-11-02,1273.73999,1297.5,2019-11-08,"call",1.4
2019-11-02,1273.73999,1300,2019-11-08,"call",1.6
2019-11-02,1273.73999,1302.5,2019-11-08,"call",0.9
2019-11-02,1273.73999,1305,2019-11-08,"call",1
2019-11-02,1273.73999,1307.5,2019-11-08,"call",0.75
2019-11-02,1273.73999,1310,2019-11-08,"call",0.49
2019-11-02,1273.73999,1312.5,2019-11-08,"call",0.46
2019-11-02,1273.73999,1315,2019-11-08,"call",0.36
2019-11-02,1273.73999,1317.5,2019-11-08,"call",0.4
2019-11-02,1273.73999,1320,2019-11-08,"call",0.4
2019-11-02,1273.73999,1322.5,2019-11-08,"call",0.25
2019-11-02,1273.73999,1325,2019-11-08,"call",0.13
2019-11-02,1273.73999,1327.5,2019-11-08,"call",0.44
2019-11-02,1273.73999,1330,2019-11-08,"call",0.38
2019-11-02,1273.73999,1332.5,2019-11-08,"call",0.4
2019-11-02,1273.73999,1335,2019-11-08,"call",0.1
2019-11-02,1273.73999,1337.5,2019-11-08,"call",0.85
2019-11-02,1273.73999,1340,2019-11-08,"call",0.05
2019-11-02,1273.73999,1342.5,2019-11-08,"call",0.17
2019-11-02,1273.73999,1345,2019-11-08,"call",0.1
2019-11-02,1273.73999,1347.5,2019-11-08,"call",9.9
2019-11-02,1273.73999,1350,2019-11-08,"call",0.25
2019-11-02,1273.73999,1352.5,2019-11-08,"call",0.55
2019-11-02,1273.73999,1355,2019-11-08,"call",0.41
2019-11-02,1273.73999,1357.5,2019-11-08,"call",0.65
2019-11-02,1273.73999,1360,2019-11-08,"call",0.32
2019-11-02,1273.73999,1362.5,2019-11-08,"call",0.52
2019-11-02,1273.73999,1365,2019-11-08,"call",0.2
2019-11-02,1273.73999,1367.5,2019-11-08,"call",0.1
2019-11-02,1273.73999,1370,2019-11-08,"call",0.25
2019-11-02,1273.73999,1372.5,2019-11-08,"call",0.44
2019-11-02,1273.73999,1375,2019-11-08,"call",0.1
2019-11-02,1273.73999,1377.5,2019-11-08,"call",0.44
2019-11-02,1273.73999,1380,2019-11-08,"call",0.15
2019-11-02,1273.73999,1382.5,2019-11-08,"call",0.37
2019-11-02,1273.73999,1385,2019-11-08,"call",0.57
2019-11-02,1273.73999,1387.5,2019-11-08,"call",0.35
