"Start","S0","K","Tt","Type","P"
2019-11-02,131.199997,119,2019-11-08,"call",11
2019-11-02,131.199997,120,2019-11-08,"call",8.55
2019-11-02,131.199997,121,2019-11-08,"call",8.85
2019-11-02,131.199997,122,2019-11-08,"call",6.8
2019-11-02,131.199997,123,2019-11-08,"call",5.55
2019-11-02,131.199997,124,2019-11-08,"call",8.44
2019-11-02,131.199997,125,2019-11-08,"call",6.5
2019-11-02,131.199997,126,2019-11-08,"call",5.54
2019-11-02,131.199997,127,2019-11-08,"call",4.6
2019-11-02,131.199997,128,2019-11-08,"call",4.15
2019-11-02,131.199997,129,2019-11-08,"call",2.85
2019-11-02,131.199997,130,2019-11-08,"call",1.95
2019-11-02,131.199997,131,2019-11-08,"call",1.28
2019-11-02,131.199997,132,2019-11-08,"call",0.75
2019-11-02,131.199997,133,2019-11-08,"call",0.41
2019-11-02,131.199997,134,2019-11-08,"call",0.24
2019-11-02,131.199997,135,2019-11-08,"call",0.14
2019-11-02,131.199997,136,2019-11-08,"call",0.07
2019-11-02,131.199997,137,2019-11-08,"call",0.05
2019-11-02,131.199997,138,2019-11-08,"call",0.03
2019-11-02,131.199997,139,2019-11-08,"call",0.05
2019-11-02,131.199997,140,2019-11-08,"call",0.05
2019-11-02,131.199997,141,2019-11-08,"call",0.06
2019-11-02,131.199997,142,2019-11-08,"call",0.42
2019-11-02,131.199997,143,2019-11-08,"call",0.26
2019-11-02,131.199997,144,2019-11-08,"call",0.04
2019-11-02,131.199997,145,2019-11-08,"call",0.01
2019-11-02,131.199997,110,2019-11-08,"put",0.03
2019-11-02,131.199997,115,2019-11-08,"put",0.02
2019-11-02,131.199997,117,2019-11-08,"put",0.01
2019-11-02,131.199997,118,2019-11-08,"put",0.17
2019-11-02,131.199997,119,2019-11-08,"put",0.05
2019-11-02,131.199997,120,2019-11-08,"put",0.04
2019-11-02,131.199997,121,2019-11-08,"put",0.13
2019-11-02,131.199997,122,2019-11-08,"put",0.01
2019-11-02,131.199997,123,2019-11-08,"put",0.03
2019-11-02,131.199997,124,2019-11-08,"put",0.02
2019-11-02,131.199997,125,2019-11-08,"put",0.06
2019-11-02,131.199997,126,2019-11-08,"put",0.07
2019-11-02,131.199997,127,2019-11-08,"put",0.13
2019-11-02,131.199997,128,2019-11-08,"put",0.21
2019-11-02,131.199997,129,2019-11-08,"put",0.33
2019-11-02,131.199997,130,2019-11-08,"put",0.58
2019-11-02,131.199997,131,2019-11-08,"put",0.96
2019-11-02,131.199997,132,2019-11-08,"put",1.5
2019-11-02,131.199997,133,2019-11-08,"put",2.14
2019-11-02,131.199997,134,2019-11-08,"put",2.8
2019-11-02,131.199997,135,2019-11-08,"put",3.55
2019-11-02,131.199997,136,2019-11-08,"put",6.3
2019-11-02,131.199997,137,2019-11-08,"put",7.25
2019-11-02,131.199997,138,2019-11-08,"put",6.1
2019-11-02,131.199997,139,2019-11-08,"put",5.35
2019-11-02,131.199997,140,2019-11-08,"put",6.9
2019-11-02,131.199997,80,2019-11-15,"call",51.3
2019-11-02,131.199997,90,2019-11-15,"call",40
2019-11-02,131.199997,95,2019-11-15,"call",36.61
2019-11-02,131.199997,100,2019-11-15,"call",31.66
2019-11-02,131.199997,110,2019-11-15,"call",19.75
2019-11-02,131.199997,115,2019-11-15,"call",15.2
2019-11-02,131.199997,119,2019-11-15,"call",9.15
2019-11-02,131.199997,120,2019-11-15,"call",11.81
2019-11-02,131.199997,121,2019-11-15,"call",8.6
2019-11-02,131.199997,122,2019-11-15,"call",8.25
2019-11-02,131.199997,123,2019-11-15,"call",7.2
2019-11-02,131.199997,124,2019-11-15,"call",7.92
2019-11-02,131.199997,125,2019-11-15,"call",8.11
2019-11-02,131.199997,126,2019-11-15,"call",5.75
2019-11-02,131.199997,127,2019-11-15,"call",4.75
2019-11-02,131.199997,128,2019-11-15,"call",3.9
2019-11-02,131.199997,129,2019-11-15,"call",3.3
2019-11-02,131.199997,130,2019-11-15,"call",2.46
2019-11-02,131.199997,131,2019-11-15,"call",1.91
2019-11-02,131.199997,132,2019-11-15,"call",1.28
2019-11-02,131.199997,133,2019-11-15,"call",0.88
2019-11-02,131.199997,134,2019-11-15,"call",0.61
2019-11-02,131.199997,135,2019-11-15,"call",0.4
2019-11-02,131.199997,136,2019-11-15,"call",0.27
2019-11-02,131.199997,137,2019-11-15,"call",0.18
2019-11-02,131.199997,138,2019-11-15,"call",0.09
2019-11-02,131.199997,139,2019-11-15,"call",0.1
2019-11-02,131.199997,140,2019-11-15,"call",0.05
2019-11-02,131.199997,141,2019-11-15,"call",0.11
2019-11-02,131.199997,142,2019-11-15,"call",0.05
2019-11-02,131.199997,145,2019-11-15,"call",0.01
2019-11-02,131.199997,150,2019-11-15,"call",0.01
2019-11-02,131.199997,155,2019-11-15,"call",0.01
2019-11-02,131.199997,160,2019-11-15,"call",0.03
2019-11-02,131.199997,165,2019-11-15,"call",0.02
2019-11-02,131.199997,170,2019-11-15,"call",0.02
2019-11-02,131.199997,70,2019-11-15,"put",0.02
2019-11-02,131.199997,75,2019-11-15,"put",0.03
2019-11-02,131.199997,80,2019-11-15,"put",0.04
2019-11-02,131.199997,85,2019-11-15,"put",0.01
2019-11-02,131.199997,90,2019-11-15,"put",0.01
2019-11-02,131.199997,95,2019-11-15,"put",0.01
2019-11-02,131.199997,100,2019-11-15,"put",0.01
2019-11-02,131.199997,105,2019-11-15,"put",0.02
2019-11-02,131.199997,110,2019-11-15,"put",0.03
2019-11-02,131.199997,115,2019-11-15,"put",0.02
