"Start","S0","K","Tt","Type","P"
2019-11-02,127.800003,100,2019-11-08,"call",24
2019-11-02,127.800003,103,2019-11-08,"call",15.6
2019-11-02,127.800003,104,2019-11-08,"call",11.7
2019-11-02,127.800003,105,2019-11-08,"call",8.86
2019-11-02,127.800003,106,2019-11-08,"call",9.85
2019-11-02,127.800003,107,2019-11-08,"call",9.05
2019-11-02,127.800003,108,2019-11-08,"call",16.75
2019-11-02,127.800003,109,2019-11-08,"call",6.65
2019-11-02,127.800003,110,2019-11-08,"call",14.29
2019-11-02,127.800003,111,2019-11-08,"call",15.42
2019-11-02,127.800003,112,2019-11-08,"call",8.3
2019-11-02,127.800003,113,2019-11-08,"call",14.49
2019-11-02,127.800003,114,2019-11-08,"call",10.57
2019-11-02,127.800003,115,2019-11-08,"call",12.93
2019-11-02,127.800003,116,2019-11-08,"call",11.13
2019-11-02,127.800003,117,2019-11-08,"call",9.88
2019-11-02,127.800003,118,2019-11-08,"call",9.82
2019-11-02,127.800003,119,2019-11-08,"call",5.45
2019-11-02,127.800003,120,2019-11-08,"call",7.95
2019-11-02,127.800003,121,2019-11-08,"call",6.75
2019-11-02,127.800003,122,2019-11-08,"call",5.99
2019-11-02,127.800003,123,2019-11-08,"call",5.03
2019-11-02,127.800003,124,2019-11-08,"call",4.06
2019-11-02,127.800003,125,2019-11-08,"call",3.1
2019-11-02,127.800003,126,2019-11-08,"call",2.32
2019-11-02,127.800003,127,2019-11-08,"call",1.53
2019-11-02,127.800003,128,2019-11-08,"call",0.96
2019-11-02,127.800003,129,2019-11-08,"call",0.53
2019-11-02,127.800003,130,2019-11-08,"call",0.27
2019-11-02,127.800003,131,2019-11-08,"call",0.13
2019-11-02,127.800003,132,2019-11-08,"call",0.06
2019-11-02,127.800003,133,2019-11-08,"call",0.03
2019-11-02,127.800003,134,2019-11-08,"call",0.02
2019-11-02,127.800003,140,2019-11-08,"call",0.02
2019-11-02,127.800003,90,2019-11-08,"put",0.01
2019-11-02,127.800003,95,2019-11-08,"put",0.1
2019-11-02,127.800003,100,2019-11-08,"put",0.45
2019-11-02,127.800003,101,2019-11-08,"put",0.35
2019-11-02,127.800003,102,2019-11-08,"put",0.11
2019-11-02,127.800003,103,2019-11-08,"put",0.32
2019-11-02,127.800003,104,2019-11-08,"put",0.15
2019-11-02,127.800003,105,2019-11-08,"put",0.04
2019-11-02,127.800003,106,2019-11-08,"put",0.25
2019-11-02,127.800003,107,2019-11-08,"put",0.18
2019-11-02,127.800003,108,2019-11-08,"put",0.11
2019-11-02,127.800003,109,2019-11-08,"put",0.04
2019-11-02,127.800003,110,2019-11-08,"put",0.01
2019-11-02,127.800003,111,2019-11-08,"put",0.05
2019-11-02,127.800003,112,2019-11-08,"put",0.04
2019-11-02,127.800003,113,2019-11-08,"put",0.04
2019-11-02,127.800003,114,2019-11-08,"put",0.04
2019-11-02,127.800003,115,2019-11-08,"put",0.04
2019-11-02,127.800003,116,2019-11-08,"put",0.02
2019-11-02,127.800003,117,2019-11-08,"put",0.09
2019-11-02,127.800003,118,2019-11-08,"put",0.02
2019-11-02,127.800003,119,2019-11-08,"put",0.03
2019-11-02,127.800003,120,2019-11-08,"put",0.06
2019-11-02,127.800003,121,2019-11-08,"put",0.05
2019-11-02,127.800003,122,2019-11-08,"put",0.08
2019-11-02,127.800003,123,2019-11-08,"put",0.12
2019-11-02,127.800003,124,2019-11-08,"put",0.19
2019-11-02,127.800003,125,2019-11-08,"put",0.26
2019-11-02,127.800003,126,2019-11-08,"put",0.42
2019-11-02,127.800003,127,2019-11-08,"put",0.7
2019-11-02,127.800003,128,2019-11-08,"put",1.13
2019-11-02,127.800003,129,2019-11-08,"put",1.69
2019-11-02,127.800003,130,2019-11-08,"put",2.4
2019-11-02,127.800003,131,2019-11-08,"put",3.3
2019-11-02,127.800003,133,2019-11-08,"put",5.11
2019-11-02,127.800003,65,2019-11-15,"call",46.87
2019-11-02,127.800003,70,2019-11-15,"call",41.88
2019-11-02,127.800003,80,2019-11-15,"call",33.4
2019-11-02,127.800003,85,2019-11-15,"call",38.3
2019-11-02,127.800003,90,2019-11-15,"call",33.5
2019-11-02,127.800003,95,2019-11-15,"call",29.77
2019-11-02,127.800003,105,2019-11-15,"call",19.58
2019-11-02,127.800003,110,2019-11-15,"call",16.22
2019-11-02,127.800003,111,2019-11-15,"call",13.54
2019-11-02,127.800003,113,2019-11-15,"call",11.7
2019-11-02,127.800003,114,2019-11-15,"call",12.74
2019-11-02,127.800003,115,2019-11-15,"call",12.95
2019-11-02,127.800003,116,2019-11-15,"call",11.13
2019-11-02,127.800003,117,2019-11-15,"call",10.75
2019-11-02,127.800003,118,2019-11-15,"call",10
2019-11-02,127.800003,119,2019-11-15,"call",8.75
2019-11-02,127.800003,120,2019-11-15,"call",8.1
2019-11-02,127.800003,121,2019-11-15,"call",5.5
2019-11-02,127.800003,122,2019-11-15,"call",6.25
2019-11-02,127.800003,123,2019-11-15,"call",5.25
2019-11-02,127.800003,124,2019-11-15,"call",4.48
2019-11-02,127.800003,125,2019-11-15,"call",3.7
2019-11-02,127.800003,126,2019-11-15,"call",2.85
2019-11-02,127.800003,127,2019-11-15,"call",2.09
2019-11-02,127.800003,128,2019-11-15,"call",1.52
2019-11-02,127.800003,129,2019-11-15,"call",1.04
2019-11-02,127.800003,130,2019-11-15,"call",0.67
2019-11-02,127.800003,131,2019-11-15,"call",0.41
2019-11-02,127.800003,132,2019-11-15,"call",0.25
2019-11-02,127.800003,135,2019-11-15,"call",0.06
2019-11-02,127.800003,140,2019-11-15,"call",0.02
2019-11-02,127.800003,145,2019-11-15,"call",0.01
2019-11-02,127.800003,150,2019-11-15,"call",0.02
2019-11-02,127.800003,60,2019-11-15,"put",0.01
2019-11-02,127.800003,70,2019-11-15,"put",0.01
2019-11-02,127.800003,75,2019-11-15,"put",0.03
2019-11-02,127.800003,80,2019-11-15,"put",0.02
2019-11-02,127.800003,85,2019-11-15,"put",0.01
2019-11-02,127.800003,90,2019-11-15,"put",0.01
2019-11-02,127.800003,95,2019-11-15,"put",0.02
2019-11-02,127.800003,100,2019-11-15,"put",0.02
2019-11-02,127.800003,105,2019-11-15,"put",0.02
2019-11-02,127.800003,109,2019-11-15,"put",0.07
2019-11-02,127.800003,110,2019-11-15,"put",0.03
2019-11-02,127.800003,111,2019-11-15,"put",0.18
2019-11-02,127.800003,112,2019-11-15,"put",0.11
2019-11-02,127.800003,113,2019-11-15,"put",0.23
2019-11-02,127.800003,114,2019-11-15,"put",0.05
2019-11-02,127.800003,115,2019-11-15,"put",0.07
2019-11-02,127.800003,116,2019-11-15,"put",0.19
2019-11-02,127.800003,117,2019-11-15,"put",0.1
2019-11-02,127.800003,118,2019-11-15,"put",0.11
2019-11-02,127.800003,119,2019-11-15,"put",0.13
2019-11-02,127.800003,120,2019-11-15,"put",0.17
2019-11-02,127.800003,121,2019-11-15,"put",0.23
2019-11-02,127.800003,122,2019-11-15,"put",0.28
2019-11-02,127.800003,123,2019-11-15,"put",0.4
2019-11-02,127.800003,124,2019-11-15,"put",0.51
2019-11-02,127.800003,125,2019-11-15,"put",0.64
2019-11-02,127.800003,126,2019-11-15,"put",0.88
2019-11-02,127.800003,127,2019-11-15,"put",1.16
2019-11-02,127.800003,128,2019-11-15,"put",1.58
2019-11-02,127.800003,129,2019-11-15,"put",2.15
2019-11-02,127.800003,130,2019-11-15,"put",2.79
