"Start","S0","K","Tt","Type","P"
2019-11-02,286.809998,160,2019-11-08,"call",129.7
2019-11-02,286.809998,170,2019-11-08,"call",114.3
2019-11-02,286.809998,205,2019-11-08,"call",86.9
2019-11-02,286.809998,215,2019-11-08,"call",51.35
2019-11-02,286.809998,225,2019-11-08,"call",43.97
2019-11-02,286.809998,230,2019-11-08,"call",51.4
2019-11-02,286.809998,235,2019-11-08,"call",38.23
2019-11-02,286.809998,240,2019-11-08,"call",50.38
2019-11-02,286.809998,242.5,2019-11-08,"call",48.35
2019-11-02,286.809998,245,2019-11-08,"call",31.87
2019-11-02,286.809998,247.5,2019-11-08,"call",32.5
2019-11-02,286.809998,250,2019-11-08,"call",36.86
2019-11-02,286.809998,252.5,2019-11-08,"call",22.6
2019-11-02,286.809998,255,2019-11-08,"call",32
2019-11-02,286.809998,257.5,2019-11-08,"call",29.52
2019-11-02,286.809998,260,2019-11-08,"call",26.89
2019-11-02,286.809998,262.5,2019-11-08,"call",18
2019-11-02,286.809998,265,2019-11-08,"call",22
2019-11-02,286.809998,267.5,2019-11-08,"call",19.51
2019-11-02,286.809998,270,2019-11-08,"call",17.4
2019-11-02,286.809998,272.5,2019-11-08,"call",15.08
2019-11-02,286.809998,275,2019-11-08,"call",12.95
2019-11-02,286.809998,277.5,2019-11-08,"call",10.7
2019-11-02,286.809998,280,2019-11-08,"call",9.15
2019-11-02,286.809998,282.5,2019-11-08,"call",7
2019-11-02,286.809998,285,2019-11-08,"call",5.45
2019-11-02,286.809998,287.5,2019-11-08,"call",4.5
2019-11-02,286.809998,290,2019-11-08,"call",3.35
2019-11-02,286.809998,292.5,2019-11-08,"call",2.37
2019-11-02,286.809998,295,2019-11-08,"call",1.7
2019-11-02,286.809998,297.5,2019-11-08,"call",1.12
2019-11-02,286.809998,300,2019-11-08,"call",0.75
2019-11-02,286.809998,302.5,2019-11-08,"call",0.52
2019-11-02,286.809998,305,2019-11-08,"call",0.38
2019-11-02,286.809998,307.5,2019-11-08,"call",0.25
2019-11-02,286.809998,310,2019-11-08,"call",0.17
2019-11-02,286.809998,312.5,2019-11-08,"call",0.14
2019-11-02,286.809998,315,2019-11-08,"call",0.11
2019-11-02,286.809998,317.5,2019-11-08,"call",0.09
2019-11-02,286.809998,320,2019-11-08,"call",0.07
2019-11-02,286.809998,322.5,2019-11-08,"call",0.05
2019-11-02,286.809998,325,2019-11-08,"call",0.04
2019-11-02,286.809998,330,2019-11-08,"call",0.03
2019-11-02,286.809998,335,2019-11-08,"call",0.01
2019-11-02,286.809998,340,2019-11-08,"call",0.05
2019-11-02,286.809998,345,2019-11-08,"call",0.03
2019-11-02,286.809998,350,2019-11-08,"call",0.03
2019-11-02,286.809998,355,2019-11-08,"call",0.02
2019-11-02,286.809998,360,2019-11-08,"call",0.03
2019-11-02,286.809998,365,2019-11-08,"call",0.01
2019-11-02,286.809998,370,2019-11-08,"call",0.01
2019-11-02,286.809998,375,2019-11-08,"call",0.93
2019-11-02,286.809998,380,2019-11-08,"call",0.01
2019-11-02,286.809998,385,2019-11-08,"call",0.01
2019-11-02,286.809998,390,2019-11-08,"call",0.41
2019-11-02,286.809998,395,2019-11-08,"call",0.01
2019-11-02,286.809998,150,2019-11-08,"put",0.01
2019-11-02,286.809998,155,2019-11-08,"put",0.01
2019-11-02,286.809998,160,2019-11-08,"put",0.03
2019-11-02,286.809998,165,2019-11-08,"put",0.05
2019-11-02,286.809998,170,2019-11-08,"put",0.02
2019-11-02,286.809998,175,2019-11-08,"put",0.03
2019-11-02,286.809998,180,2019-11-08,"put",0.09
2019-11-02,286.809998,185,2019-11-08,"put",0.07
2019-11-02,286.809998,190,2019-11-08,"put",0.05
2019-11-02,286.809998,195,2019-11-08,"put",0.03
2019-11-02,286.809998,200,2019-11-08,"put",0.01
2019-11-02,286.809998,205,2019-11-08,"put",0.03
2019-11-02,286.809998,210,2019-11-08,"put",0.03
2019-11-02,286.809998,215,2019-11-08,"put",0.05
2019-11-02,286.809998,220,2019-11-08,"put",0.03
2019-11-02,286.809998,225,2019-11-08,"put",0.04
2019-11-02,286.809998,230,2019-11-08,"put",0.06
2019-11-02,286.809998,232.5,2019-11-08,"put",0.1
2019-11-02,286.809998,235,2019-11-08,"put",0.07
2019-11-02,286.809998,237.5,2019-11-08,"put",0.12
2019-11-02,286.809998,240,2019-11-08,"put",0.08
2019-11-02,286.809998,242.5,2019-11-08,"put",0.1
2019-11-02,286.809998,245,2019-11-08,"put",0.11
2019-11-02,286.809998,247.5,2019-11-08,"put",0.12
2019-11-02,286.809998,250,2019-11-08,"put",0.14
2019-11-02,286.809998,252.5,2019-11-08,"put",0.14
2019-11-02,286.809998,255,2019-11-08,"put",0.15
2019-11-02,286.809998,257.5,2019-11-08,"put",0.16
2019-11-02,286.809998,260,2019-11-08,"put",0.21
2019-11-02,286.809998,262.5,2019-11-08,"put",0.27
2019-11-02,286.809998,265,2019-11-08,"put",0.35
2019-11-02,286.809998,267.5,2019-11-08,"put",0.42
2019-11-02,286.809998,270,2019-11-08,"put",0.63
2019-11-02,286.809998,272.5,2019-11-08,"put",0.88
2019-11-02,286.809998,275,2019-11-08,"put",1.08
