"Start","S0","K","Tt","Type","P"
2019-11-02,313.309998,150,2019-11-08,"call",104.63
2019-11-02,313.309998,160,2019-11-08,"call",136.25
2019-11-02,313.309998,165,2019-11-08,"call",161.4
2019-11-02,313.309998,170,2019-11-08,"call",87.35
2019-11-02,313.309998,180,2019-11-08,"call",134.25
2019-11-02,313.309998,185,2019-11-08,"call",70.2
2019-11-02,313.309998,190,2019-11-08,"call",50.1
2019-11-02,313.309998,195,2019-11-08,"call",121.15
2019-11-02,313.309998,197.5,2019-11-08,"call",122.75
2019-11-02,313.309998,200,2019-11-08,"call",114.95
2019-11-02,313.309998,202.5,2019-11-08,"call",50.5
2019-11-02,313.309998,205,2019-11-08,"call",109.65
2019-11-02,313.309998,207.5,2019-11-08,"call",30.55
2019-11-02,313.309998,210,2019-11-08,"call",100.99
2019-11-02,313.309998,212.5,2019-11-08,"call",47.99
2019-11-02,313.309998,215,2019-11-08,"call",97.71
2019-11-02,313.309998,217.5,2019-11-08,"call",99.6
2019-11-02,313.309998,220,2019-11-08,"call",93.16
2019-11-02,313.309998,222.5,2019-11-08,"call",97.94
2019-11-02,313.309998,225,2019-11-08,"call",91.1
2019-11-02,313.309998,227.5,2019-11-08,"call",85
2019-11-02,313.309998,230,2019-11-08,"call",83.47
2019-11-02,313.309998,232.5,2019-11-08,"call",83.33
2019-11-02,313.309998,235,2019-11-08,"call",76.65
2019-11-02,313.309998,237.5,2019-11-08,"call",78.12
2019-11-02,313.309998,240,2019-11-08,"call",72.32
2019-11-02,313.309998,242.5,2019-11-08,"call",69.95
2019-11-02,313.309998,245,2019-11-08,"call",66.98
2019-11-02,313.309998,247.5,2019-11-08,"call",65
2019-11-02,313.309998,250,2019-11-08,"call",61.5
2019-11-02,313.309998,252.5,2019-11-08,"call",59.83
2019-11-02,313.309998,255,2019-11-08,"call",56.97
2019-11-02,313.309998,257.5,2019-11-08,"call",54.75
2019-11-02,313.309998,260,2019-11-08,"call",51.63
2019-11-02,313.309998,262.5,2019-11-08,"call",48.8
2019-11-02,313.309998,265,2019-11-08,"call",47.45
2019-11-02,313.309998,267.5,2019-11-08,"call",44.5
2019-11-02,313.309998,270,2019-11-08,"call",43.11
2019-11-02,313.309998,272.5,2019-11-08,"call",44.15
2019-11-02,313.309998,275,2019-11-08,"call",38.44
2019-11-02,313.309998,277.5,2019-11-08,"call",39.8
2019-11-02,313.309998,280,2019-11-08,"call",33.39
2019-11-02,313.309998,282.5,2019-11-08,"call",30.2
2019-11-02,313.309998,285,2019-11-08,"call",27.95
2019-11-02,313.309998,287.5,2019-11-08,"call",24.57
2019-11-02,313.309998,290,2019-11-08,"call",23.63
2019-11-02,313.309998,292.5,2019-11-08,"call",20.9
2019-11-02,313.309998,295,2019-11-08,"call",18.71
2019-11-02,313.309998,297.5,2019-11-08,"call",16.2
2019-11-02,313.309998,300,2019-11-08,"call",14.7
2019-11-02,313.309998,302.5,2019-11-08,"call",12.56
2019-11-02,313.309998,305,2019-11-08,"call",10.75
2019-11-02,313.309998,307.5,2019-11-08,"call",9
2019-11-02,313.309998,310,2019-11-08,"call",7.44
2019-11-02,313.309998,312.5,2019-11-08,"call",6.03
2019-11-02,313.309998,315,2019-11-08,"call",4.79
2019-11-02,313.309998,317.5,2019-11-08,"call",3.82
2019-11-02,313.309998,320,2019-11-08,"call",2.91
2019-11-02,313.309998,322.5,2019-11-08,"call",2.25
2019-11-02,313.309998,325,2019-11-08,"call",1.74
2019-11-02,313.309998,327.5,2019-11-08,"call",1.34
2019-11-02,313.309998,330,2019-11-08,"call",1.01
2019-11-02,313.309998,332.5,2019-11-08,"call",0.77
2019-11-02,313.309998,335,2019-11-08,"call",0.58
2019-11-02,313.309998,337.5,2019-11-08,"call",0.48
2019-11-02,313.309998,340,2019-11-08,"call",0.39
